6,4.8475,0.175232
7,4.94,0.208347
8,5.0325,0.258516
9,5.125,0.379929
10,5.2175,0.379929
11,5.31,0.450018
12,5.4025,0.475452
13,5.495,0.572216
14,5.5875,0.585687
15,5.68,0.496139
16,5.7725,0.51961
17,5.865,0.507126
18,5.9575,0.478046
19,6.05,0.431505
20,6.1425,0.431505
21,6.235,0.399581
22,6.3275,0.367748
23,6.42,0.302796
24,6.5125,0.223763
25,6.605,0.178224
26,6.6975,0.184781
27,6.79,0.160237
28,6.8825,0.159159
46,2.36,0.048866
47,2.42,0.048866
48,2.48,0.076391
49,2.54,0.076391
50,2.6,0.101258
51,2.66,0.141405
52,2.72,0.141405
53,2.78,0.198941
54,2.84,0.198941
55,2.9,0.2808
56,2.96,0.2808
57,3.02,0.312403
58,3.08,0.335476
59,3.14,0.335476
60,3.2,0.3176
61,3.26,0.3176
62,3.32,0.300313
63,3.38,0.240818
64,3.44,0.240818
65,3.5,0.159688
66,3.56,0.159688
67,3.62,0.130474
68,3.68,0.130474
69,3.74,0.090145
82,1.1475,0.278915
83,1.295,0.490013
84,1.4425,0.805254
85,1.59,0.805254
86,1.7375,0.918296
87,1.885,0.918296
88,2.0325,0.918296
89,2.18,0.918296
90,2.3275,0.918296
91,2.475,0.918296
92,2.6225,0.918296
93,2.77,0.870184
94,2.9175,0.870184
95,3.065,0.838602
96,3.2125,0.838602
97,3.36,0.791746
98,3.5075,0.757082
99,3.655,0.742861
100,3.8025,0.686914
101,3.95,0.673141
102,4.0975,0.668274
103,4.245,0.681418
104,4.3925,0.719219
105,4.54,0.773246
106,4.6875,0.702835
107,4.835,0.551685
108,4.9825,0.442678
109,5.13,0.35639
110,5.2775,0.316689
111,5.425,0.175232
112,5.5725,0.127914
121,2.5,0.442678
122,0.1,0.442678
123,0.16,0.595998
124,0.22,0.595998
125,0.28,0.805254
126,0.34,0.853516
127,0.4,0.853516
128,0.46,0.918296
129,0.52,0.918296
130,0.58,0.918296
131,0.64,0.918296
132,0.7,0.918296
133,0.76,0.918296
134,0.82,0.918296
135,0.88,0.757082
136,0.94,0.757082
137,1,0.719219
138,1.06,0.681418
139,1.12,0.681418
140,1.18,0.673141
141,1.24,0.673141
142,1.3,0.640799
143,1.36,0.641969
144,1.42,0.641969
145,1.48,0.648922
146,1.54,0.648922
147,1.6,0.678688
148,1.66,0.678688
149,1.72,0.490013
150,1.78,0.398278
151,1.84,0.398278
152,1.9,0.278915
153,1.96,0.278915
154,2.02,0.208347
155,2.08,0.175232
156,2.14,0.175232
